offset,value
0x00000040,0x00CDAF78
0x00000044,0x00EBC674
0x00000080,0x00E8855C
0x000000AC,0x00B273C0
0x000002D8,0x00E79DE8
0x000002F4,0x00E8A488
0x00000324,0x00B27088
0x00000328,0x00D0C8E8
0x000003C8,0x00B273C0
0x000003EC,0x00CB2D4C
0x00000468,0x00E79DE8
0x000005BC,0x00CDAEEC
0x000005D8,0x00E88438
0x00000644,0x00C24604
0x00000678,0x00984917
0x000008D0,0x00CD9EB0
0x000008E4,0x00E8A2F8
0x000008EC,0x00CDAF2A
0x00000998,0x00CBFAEC
0x0000149C,0x00B273C0
0x0000193C,0x00B0000D
0x00001B30,0x00B9217D
0x00001D88,0x00940FA9
0x000020CC,0x0094FFDE
0x000020D8,0x0094FECE
0x00002818,0x00C2A615
0x00002A88,0x00E8A348
0x00002AF8,0x008B1A53
0x00002DC0,0x00CDAEEE
0x00002DC4,0x00E8A488
0x000030C4,0x00940FA9
0x000030C8,0x009D430C
0x000038CC,0x00CDA54E
0x00004578,0x009D0289
0x00004B2C,0x00CD9D60
0x00004B58,0x0095406C
0x00004BA4,0x009F0E2D
0x00004BCC,0x00A70D89
0x00004BE8,0x009D0E09
0x00004C14,0x00A718C9
0x00004C2C,0x009D0E09
0x00004C54,0x00A70D89
0x00004C70,0x009D0E09
0x00004C98,0x00A70D89
0x00004CB4,0x009D0E09
0x00004CDC,0x00A70D89
0x00004CF8,0x009D0E09
0x00004D20,0x00A70D89
0x00004D7C,0x009D0E36
0x00004DD0,0x00940E2D
0x00004E00,0x009D021E
0x00004F78,0x00A60E36
0x00004FF4,0x00A60E36
0x00005044,0x009D0E09
0x00005080,0x00950E24
0x00005094,0x009D0089
0x00005100,0x009E6D5D
0x0000510C,0x009D6DED
0x00005120,0x008D240B
0x0000512C,0x00949400
0x00005134,0x00948874
0x00005178,0x00951B64
0x00005218,0x009D260B
0x0000522C,0x009EDC10
0x00005318,0x00E88438
0x00005558,0x0094C914
0x0000555C,0x0094D764
0x00005780,0x00CC4821
0x00005808,0x00E883E4
0x0000580C,0x00E88438
0x00005810,0x00E8848C
0x00005814,0x00CD9E58
0x00005818,0x00CD9E5C
0x0000581C,0x00CD9E60
0x00005A40,0x00E883E4
0x00005AA4,0x00E6DC88
0x00005ABC,0x00E6DB8C
0x00005AD4,0x00D104D0
0x00005AEC,0x00D10530
0x00005B04,0x00CFB344
0x00005B1C,0x00B284E4
0x00005B34,0x00B2794C
0x00005B4C,0x00B273C0
0x00005B64,0x00B273C0
0x00005B84,0x00CD9ED4
0x00005BC0,0x00916828
0x00005BFC,0x00CD9ED4
0x000067C4,0x00CD9EC8
0x000069B8,0x00B80005
0x00006A50,0x00D16800
0x0000719C,0x00CD9E94
0x000071D4,0x00CD9E94
0x00007278,0x00CD9E94
0x00007480,0x00A8D003
0x00007494,0x00B0D002
0x000074A0,0x00A29802
0x000074B4,0x00B26AE9
0x000075BC,0x00E81C77
0x000075DC,0x00B900C0
0x000075F8,0x00E09904
0x00007908,0x00CD9E70
0x0000790C,0x00E887C8
0x00007914,0x00E88A70
0x00007918,0x00E88D10
0x0000791C,0x00E88FB0
0x00007920,0x00E8A2D8
0x00007924,0x00E89450
0x0000792C,0x00E898F8
0x00007930,0x00E89D98
0x00007A30,0x00CD9E70
0x00007A4C,0x00981C6D
0x00007AAC,0x00CD9E8C
0x00007AC8,0x00981C6D
0x00007B28,0x00CD9E90
0x00007BD4,0x00CDAF2C
0x0000A778,0x00CD9EA8
0x0000A7AC,0x00CD9ED4
0x0000A7EC,0x00E79DE8
0x0000A804,0x00E773E0
0x0000A850,0x00E79E10
0x0000A890,0x00CD9E64
0x0000A8B4,0x00CCE054
0x0000A924,0x00E79DE8
0x0000A928,0x00CBFAEC
0x0000AEF4,0x00A269AF
0x0000B150,0x00DA00C3
0x0000C324,0x00E31B80
0x0000C35C,0x008E19BB
0x0000C5C4,0x00CDA54F
0x0000C604,0x00CDA550
0x0000C648,0x00D09002
0x0000C66C,0x00D19803
0x0000C858,0x00CD9E64
0x0000DEB0,0x00CD9E6C
0x0000DEB4,0x00CB2CC8
0x0000DEC4,0x00CFB320
0x0000DED8,0x00B26D88
0x0000DEE0,0x00B29580
0x0000DEE4,0x00CD9F0C
0x0000DEE8,0x00CB2BBC
0x0000DEEC,0x00B26D90
0x0000DF1C,0x00A52CAC
0x0000DF20,0x00A52CAC
0x0000E070,0x00B26D20
0x0000E0DC,0x00CB2BB0
0x0000E0E0,0x00E6E854
0x0000E14C,0x00CB2BBC
