pointer_offsets;pointer_value;separators;extract
0x8D3E40;0x00949720;00 00;１
0x8D3E44;0x00949724;00 00;２
0x8D3E48;0x00949728;00 00;３
0x8D3E54;0x0094972C;00 00;６
0x2150B4;0x00949730;00 00 FF FF;loading failed                  
0xC291A0;0x00949774;00 00 00 00;Back to the title screen† ？         
0xC291A4;0x009497C0;00 00 00 00;Current progress†Is it good to save？            
0xC29190;0x00949824;00 00 00 00;Configure the environment           
0xC29184;0x00949870;00 00;Set up swelling communication            
0xC2917C;0x009498C4;00 00 00 00;Perform various Fights such as communication
0xC29198;0x0094991C;00 00;Buy Cards and Recipes  
0xC29180;0x0094994C;00 00 00 00;Enter your password                 
0xC2918C;0x00949998;00 00;Check how to play Fight              
0xC29188;0x009499E4;00 00 00 00;Check collected cards       
0xC29178;0x00949A20;00 00 00 00;Create and edit decks           
0xC29194;0x00949A64;00 00;Follow the story 
0xC2919C;0x00949A88;00 00 FF FF;Back to the title screen  
0x8D3F38;0x00949AC0;00 00 00 00;This is a condition that you can get a bonus with the Fight。†LET'S CHALLENGE AND AIM FOR HIGH-VOLUME VP ACQUISITION。
0x8D3F48;0x00949B78;00 00;This is the name displayed in the communication Fight。†Set your favorite title。              
0x8D3F40;0x00949C34;00 00;It is a message to display in the communication Fight。†Set a message to your opponent。
0x8D3F20;0x00949CC8;00 00;You can buy packs and recipes。†Let's make various decks。       
0x8D3F18;0x00949D48;00 00 00 00;Create a deck with the collected cards。†You can also set sleeves and play mats。
0x8D3F28;0x00949DC8;00 00;Characters and other events†Returns player win rates and information               
0x8D3F60;0x00949E70;00 00 00 00;Set up swelling communication†Can be changed      
0x8D3F50;0x00949ED8;00 00; 's appearance and name、 †Can be changed                         
0x8D3F10;0x00949F5C;00 00;STARTチュートリアル†You can exit in the middle                                        
0x8D3F70;0x00949FFC;00 00;Get cards†You can check                  
0x8D3F08;0x0094A050;00 00;Fight Flow、ルール、Terms†You can check with actual operation                       
0x8D3F68;0x0094A0F0;00 00 00 00;Enter your password to enter your card†Get it     
0x8D3F30;0x0094A158;00 00;Used by other players†You can also save recipes  
0x8D3F78;0x0094A1BC;00 00 00 00;WITH CP、Have a card†You can also increase     
0x8D3F58;0x0094A21C;00 00;Characters and events†Fight with other players through communication
0xC293B0;0x0094A298;00 00 00 00;Deck customization
0xC293B8;0x0094A2B0;00 00;Contact Us
0xC293B4;0x0094A2BC;00 00;Collection
0xC293BC;0x0094A2CC;00 00;Home     
0xC295E0;0x0094A2E0;00 00;Additional data is damaged。†Create additional data again。        
0xC295DC;0x0094A364;00 00 00 00;No save data found。†Create new data。                              
0xC295E8,0xC29600;0x0094A3EC;00 00;SD CARD IS PROHIBITED。†FAILED TO WRITE TO SD CARD。                               
0xC295F0;0x0094A490;00 00;I COULD NOT RECOGNIZE THE SD CARD。†FAILED TO WRITE TO SD CARD。     
0xC295E4,0xC295FC;0x0094A518;00 00 00 00;NO SD CARD SPACE AVAILABLE。†FAILED TO WRITE TO SD CARD。                         
0xC295CC;0x0094A5BC;00 00 00 00;SAVE TO SD CARD？
0xC29614;0x0094A5DC;00 00;SD CARD LOCK-ON VICTORY!!Home†Can I read save data？
0xC295C4;0x0094A63C;00 00 00 00;Data stored in the future†Unlimited Data                                      
0xC295C8;0x0094A6DC;00 00 00 00;本作、StrideTubictory!!Home†Save data that cannot be read      
0xC29624;0x0094A758;00 00;Additional data is damaged   
0xC295D0;0x0094A794;00 00 00 00;SAVE TO SD CARD
0xC29610;0x0094A7B4;00 00 00 00;Read save data†You can take over the card           
0xC295C0;0x0094A820;00 00 00 00;SAVE PLAY DATA TO SD CARD 
0xC2960C;0x0094A858;00 00;SD CARD LOCK-ON VICTORY!!Home†Load save data 
0xC295D8,0xC2961C;0x0094A8B4;00 00;I COULD NOT RECOGNIZE THE SD CARD
0xC29620;0x0094A8E8;00 00;ｶｰﾄﾞﾌｧｲﾄ!! ｳﾞｧﾝｶﾞｰﾄﾞ ﾛｯｸ ｵﾝ ﾋﾞｸﾄﾘｰ!!Home†No save data found  
0xC29608;0x0094A964;00 00;FAILED TO WRITE TO SD CARD             
0xC295EC;0x0094A9B4;00 00 00 00 FF FF;SD WRITING TO SD CARD                  
0xC29740;0x0094AA08;00 00;・Select the same Fight mode as the opponent。†・The parent machine sets the location number、Place†　Choose to make。†・The child machine sets the same place number as the parent machine、†　Choose Go to Fight Place。                     
0xC29748;0x0094ABD4;00 00;・Select the same Fight mode as the opponent。†・The parent machine chooses to make the Fight place。†- Select the child machine to go to the Fight place。
0xC29744;0x0094ACF8;00 00 00 00;- Auto save before fighting。†・CLOSE NINTENDO 3DS BODY、†　The communication is disconnected by sleeping mode。†・Internet communication Fight、†　There is a limit time for each turn。
0xC2973C;0x0094AE3C;00 00 00 00;- Auto save before fighting。†・CLOSE NINTENDO 3DS BODY、†　The communication is disconnected by sleeping mode。
0xC29724;0x0094AF04;00 00;Fight with this user？
0xC2974C;0x0094AF5C;00 00;Please note the following points in the communication fight
0xC29710;0x0094AFC8;00 00;Choose the opponent to Fight         
0xC29718;0x0094B014;00 00 00 00;Looking for Fight Place     
0xC29714;0x0094B050;00 00;Connect to the server
0xC29728;0x0094B07C;00 00;Waiting for opponent   
0xC2971C;0x0094B0AC;00 00;Waiting for the opponent   
0xC296F8;0x0094B0E4;00 00;Change the number of the Fight location  
0xC296F4;0x0094B138;00 00 00 00;Change Fight Mode     
0xC296F0;0x0094B168;00 00 00 00;De  the created Fight Place               
0xC29720;0x0094B1C0;00 00;Connect to Fight Place       
0xC296E8,0xC29C0C;0x0094B1FC;00 00;Check the regulations  
0xC296E4;0x0094B22C;00 00 00 00;Use the Internet to Fight 
0xC296E0;0x0094B264;00 00;DIRECTLY COMMUNICATE WITH NEARBY 3DS     
0xC296FC;0x0094B2B8;00 00;Fight with friends
0xC29708;0x0094B2D4;00 00 00 00;Fight with stronger users         
0xC29700;0x0094B31C;00 00;We will fight with nationwide ranking
0xC29704;0x0094B350;00 00 00 00;Fight as much strength as possible  
0xC2970C;0x0094B39C;00 00;Fight with all users
0xC296EC;0x0094B3C0;00 00 00 00;Make a Fight Place        
0x5C4E90,0xC29730;0x0094B3F8;00 00;No opponent found                
0xC2972C;0x0094B43C;00 00 00 00;Canceled            
0xC29734;0x0094B468;00 00 00 00;This opponent is playing、No more    
0xC29738;0x0094B4B4;00 00;Because each other's version is different†No Fighting
0xC296D8;0x0094B504;00 00 00 00;World Fight
0xC296D4;0x0094B518;00 00 00 00;Friend Fight
0xC296D0;0x0094B52C;00 00;Internet Communication Fight
0xC296CC;0x0094B548;00 00 00 00;Local Communication Fight
0xC296DC;0x0094B560;00 00 FF FF;場所番号
0xC298D4,0xDB02BC;0x0094B56C;00 00;Too strong！  
0xC298B0,0xDB0298;0x0094B588;00 00;No next loss！        
0xC298C0,0xDB02A8;0x0094B5B4;00 00;Nice Playing！
0xC298CC,0xDB02B4;0x0094B5C8;00 00 00 00;Nice Fight！
0xC29894;0x0094B5DC;00 00;I got a collection pack from the opponent。†1 pack open。  
0xC29898,0xDB0280;0x0094B650;00 00;I sent a collection pack to the opponent。†You can open one pack。         
0xC2989C;0x0094B6E4;00 00;I got a collection pack from the opponent。†2 packs open。 
0xC2988C;0x0094B758;00 00;IS IT POSSIBLE TO USE A COLLECTION PACK WITH 100CP？†（Send、You can open a collection pack）
0xC298B4,0xDB029C;0x0094B804;00 00 00 00;wind stopped…       
0xC298C4,0xDB02AC;0x0094B830;00 00;I'm sorry…       
0xC298DC,0xDB02C4;0x0094B854;00 00 00 00;You、Original…           
0xC298AC,0xDB0294;0x0094B888;00 00;What is triggering…
0xC29888;0x0094B8B0;00 00;Select a comment to send to the other party  
0xC298D0,0xDB02B8;0x0094B90C;00 00 00 00;It was fun    
0xC298A0;0x0094B92C;00 00 00 00;Choose your partner     
0xC298BC,0xDB02A4;0x0094B960;00 00;Thank you for your understanding
0xC298A8,0xDB0290;0x0094B988;00 00;Good Fight
0xC298A4,0xDB028C;0x0094B99C;00 00;Thank you very much
0xC298D8,0xDB02C0;0x0094B9B4;00 00;Lost       
0xC298B8,0xDB02A0;0x0094B9CC;00 00 00 00;Study             
0xC298C8,0xDB02B0;0x0094B9F4;00 00 FF FF;              
0x5C8824;0x0094BA14;00 00;BECAUSE WIRELESS COMMUNICATION IS TURNED OFF†No communication。††TURN ON WIRELESS COMMUNICATION。
0xC29AB4;0x0094BA68;00 00 00 00;Change communication avatar？    
0xC29AB8;0x0094BAAC;00 00 FF FF;Choose the avatar to change           
0xC29B6C;0x0094BAFC;00 00 00 00;This deck is not available in clanfight。†Warning statement、ON OPTIONAL/OFF。
0xC29B70;0x0094BB80;00 00 00 00;First Vanguard not set。†Do you still have deck editing？
0xC29B4C,0xC29CDC;0x0094BBD8;00 00;50 cards in the deck                       
0xC29B50;0x0094BC30;00 00 00 00;4 cards with the same name already  
0xC29B58;0x0094BC7C;00 00 00 00;4 cards already included              
0xC29B54;0x0094BCCC;00 00;16 cards already included            
0xC29B68;0x0094BD18;00 00 00 00;Substましたted Deck for Extreme    
0xC29B74;0x0094BD5C;00 00;New Deck
0xC29B5C;0x0094BD68;00 00;This card does not have any more   
0xC29B64;0x0094BDB0;00 00;CANNOT BE USED FOR FV IN CRANFITE
0xC29B60;0x0094BDE8;00 00 FF FF;Optionally you can't use the Extreme Fight Deck
0xC29BB4;0x0094BE28;00 00 00 00;Back to the deck？                         
0xC29BB8;0x0094BE80;00 00 00 00;Empty Deck？       
0xC29BB0;0x0094BEA8;00 00 FF FF;Reset Filtering Conditions？             
0xC29C2C;0x0094BEFC;00 00 00 00;Deck Name、Contact Us†can touch more people's eyes。††What other people become uncomfortable、Illegal Content、†Content that infringes the rights of others、Personal Information†Do not use。                                                                                  
0xC29BF8;0x0094C114;00 00;Set the current deck                       
0xC29BFC;0x0094C16C;00 00;Create decks from empty state            
0xC29C1C;0x0094C1C0;00 00 00 00;Set the play mat design   
0xC29C18;0x0094C1F8;00 00 00 00;Set sleeve design       
0xC29C28;0x0094C22C;00 00 00 00;Change stand-up audio             
0xC29C14;0x0094C274;00 00;現在、Change the name of the deck in the settings       
0xC29C24;0x0094C2E0;00 00;Change deck icon       
0xC29C08;0x0094C310;00 00 00 00;Change deck customization options
0xC29C20;0x0094C350;00 00;Change Avatar      
0xC29C10;0x0094C378;00 00;現在、Edit the Deck in Settings               
0xC29C04;0x0094C3D0;00 00;Register card combination      
0xC29C00;0x0094C410;00 00;Read card combination              
0xC29C68;0x0094C458;00 00;Select the icon          
0xC29CEC;0x0094C48C;00 00;The current deck cannot be used in the Fight。†Can I read other recipes？
0xC29CD8;0x0094C518;00 00;50 cards in the deck                   
0xC29CE8;0x0094C568;00 00 00 00;16 triggers                 
0xC29CE4;0x0094C5A4;00 00 00 00;Below 4 heel triggers             
0xC29CE0;0x0094C5EC;00 00;8 CARDS IN THE G-Dを                        
0xC29D28;0x0094C644;00 00 FF FF;The opponent chooses the deck     
0xC29E44;0x0094C68C;00 00;Use this recipe？   
0xC29E2C;0x0094C6B4;00 00;Register now deck content？               
0xC29E34;0x0094C708;00 00 00 00;Register the content of the opponent's deck recipe？
0xC29E40;0x0094C768;00 00 00 00;Remove this recipe？   
0xC29E30;0x0094C798;00 00;Overwrite current deck content？          
0xC29E38;0x0094C7EC;00 00 00 00;Overwrite the content of the opponent's deck recipe？
0xC29E3C;0x0094C84C;00 00 00 00;Can I read this recipe？               
0xC29E20;0x0094C89C;00 00;未設定          
0xC29E48;0x0094C8B8;00 00 00 00;After 1 minute、The Deck Now†Selected              
0xC29E4C;0x0094C920;00 00;After 1 minute、Deck Recipes†Selected automatically     
0xC29E54;0x0094C990;00 00 00 00;Extreme Fight Deck Options†Not readable
0xC29E50;0x0094C9E0;00 00;Deck for Extreme Fight†Cannot be used        
0xC29E28;0x0094CA3C;00 00;Other Fighter Decks
0xC29E90;0x0094CA54;00 00 FF FF;Recruit 
0xC29FA8;0x0094CA68;00 00;Choose the voice you want to change          
0xC34304,0xC3438C,0xCB297C,0xCB2A04,0xCB9F6C,0xCB9FF4,0xCBB28C,0xCBB314,0xD9FF64,0xDA15CC,0xDA15D4,0xDA167C,0xDA16DC,0xDA1A2C,0xDA1A8C,0xDA1AC4,0xDA1AE4,0xDA1B4C;0x0094CAC4;00 00 00 00;Blaster Blade Explorer
