file,type,offset,pointer_value,confidence,context_before,context_after
romfs/fight/send_comment.rtz,memory_address,0x500,0x07000000,0.50,0626000000787eee0700,9a8b091d0000008c4ce3
romfs/fight/send_comment.rtz,memory_address,0x514,0x010C6B5B,0.30,008c4ce30a5600000037,0000008b3edd0d780000
romfs/fight/send_comment.rtz,memory_address,0x53C,0x0213082C,0.30,00fea6dc1120000000f8,000000478751146e0000
romfs/fight/send_comment.rtz,memory_address,0x54C,0x031451DA,0.30,00478751146e000000b1,0000001f201e1b790000
romfs/fight/send_comment.rtz,memory_address,0x55C,0x041B9338,0.30,001f201e1b79000000b9,000000f7311d1c390000
romfs/fight/send_comment.rtz,memory_address,0x568,0x06000000,0.50,1b04000000f7311d1c39,3a871d320000007bc8d5
romfs/fight/send_comment.rtz,memory_address,0x63C,0x05558136,0.30,001ee106554300000092,000000dd2650564d0000
romfs/fight/send_comment.rtz,memory_address,0x66C,0x065F35F4,0.30,003594c15d3600000044,000000bad9d4601b0000
romfs/fight/send_comment.rtz,memory_address,0x69C,0x0766BA25,0.30,00d9f70f6629000000fa,0000005f17d167080000
romfs/fight/send_comment.rtz,memory_address,0x6B0,0x06000000,0.50,67080000003a36b96a09,87d06d0a000000b8795d
romfs/fight/send_comment.rtz,memory_address,0x770,0x06000000,0.50,a2100000001eed40a665,4f08a876000000a33a5e
romfs/fight/send_comment.rtz,memory_address,0x8A0,0x06000000,0.50,ef6c0000007b7002f437,cb08f44e000000187c1c
romfs/fight/send_comment.rtz,memory_address,0x8D8,0x0013082C,0.30,375b6b0c0000000000f8,00000000b1da51140000
romfs/fight/send_comment.rtz,memory_address,0x8FC,0x005F35F4,0.30,92368155000000000044,00000000fa25ba660000
romfs/fight/send_comment.rtz,memory_address,0x91C,0x06000000,0.50,000000003a36b96a0000,87d06d0000000000add9
romfs/fight/send_comment.rtz,memory_address,0x920,0x006DD087,0.30,3a36b96a000000000006,00000000add91a730000
romfs/fight/send_comment.rtz,memory_address,0x944,0x009EBEB2,0.30,d122df9b0000000000a9,00000000b7ee0ca10000
romfs/fight/send_comment.rtz,memory_address,0x968,0x00B97A05,0.30,ce4399b10000000000d2,00000000955ea5c90000
romfs/fight/send_comment.rtz,memory_address,0x98C,0x00ED7E4C,0.30,eed97bd200000000000e,0000000031a2552f0000
romfs/fight/send_comment.rtz,memory_address,0x9AC,0x06020000,0.50,000000003a32e77d0000,7e235ea9b2be9e345877
romfs/fight/send_comment.rtz,memory_address,0x9C0,0x00C5689B,0.30,9e3458771dfa25ba66e4,0000000463f3f3adb7ee
romfs/fight/send_comment.rtz,memory_address,0x9C4,0x04000000,0.40,1dfa25ba66e49b68c500,63f3f3adb7ee0ca1f649
romfs/fight/send_comment.rtz,memory_address,0xA14,0x003199D9,0.30,079a8b0900000000005d,00000000b63864bd0000
romfs/fight/send_comment.rtz,memory_address,0xA38,0x00ED8DF6,0.30,869f1f510000000000f4,0000000037862deb0000
romfs/fight/send_comment.rtz,memory_address,0xA90,0x00103292,0.30,d9f70f6600000000002b,00000000945c68af0000
romfs/fight/send_comment.rtz,memory_address,0xAF4,0x00BDCEFF,0.30,8a530aa90000000000e0,000000005c22388a0000
romfs/fight/send_comment.rtz,memory_address,0xB44,0x061451DA,0.30,b6fa25ba66fb2536d7b1,3a871d0000000031e285
romfs/fight/send_comment.rtz,memory_address,0xB48,0x001D873A,0.30,66fb2536d7b1da511406,00000031e285e8fbb1da
romfs/fight/send_comment.rtz,memory_address,0xCF4,0x005DC194,0.30,b219ea45000000000035,000000007b7002f40000
romfs/fight/send_comment.rtz,memory_address,0xD18,0x002BF7DD,0.30,f7311d1c000000000050,000000006682723e0000
romfs/fight/send_comment.rtz,memory_address,0xD3C,0x002F1078,0.30,e6f7868700000000008c,00000000eb1f45e40000
romfs/fight/send_comment.rtz,memory_address,0xD60,0x00D25288,0.30,d98b5de00000000000ce,000000001ee106550000
romfs/fight/send_comment.rtz,memory_address,0xD84,0x006317CD,0.30,b7d6cc840000000000f2,00000000b686ded20000
romfs/fight/send_comment.rtz,memory_address,0xDA8,0x00627251,0.30,bc21bf82000000000044,0000000031d2d3e40000
romfs/fight/send_comment.rtz,memory_address,0x10B8,0x061451DA,0.30,adb7ee0ca1f649ce15b1,cb08f4000000000463f3
romfs/fight/send_comment.rtz,memory_address,0x10BC,0x00F408CB,0.30,a1f649ce15b1da511406,0000000463f3f3adb7ee
romfs/fight/send_comment.rtz,memory_address,0x10C0,0x04000000,0.40,15b1da511406cb08f400,63f3f3adb7ee0ca1f649
romfs/fight/send_comment.rtz,memory_address,0x197C,0x07E8C9E9,0.30,008c4ce30a0000000013,1f1a2a50af694afdb1da
romfs/fight/send_comment.rtz,memory_address,0x297C,0x001DD5C8,0.30,1eed40a6fd6d5580007b,00000050e285e8fbb1da
romfs/fight/send_comment.rtz,memory_address,0x2EB0,0x00C0CAA5,0.30,37248571fd6d55800046,00000055e285e8fbb1da
romfs/fight/send_comment.rtz,memory_address,0x3168,0x012AEF00,0.40,01ef3fece458fd6d5580,ef0000000000f3b160ce
romfs/fight/send_comment.rtz,memory_address,0x51F0,0x0116000A,0.30,6316000c00000000395f,0a0141036316010a0142
romfs/fight/send_comment.rtz,memory_address,0x51F4,0x0341010A,0.30,00000000395f0a001601,6316010a014203632ed6
romfs/fight/send_comment.rtz,memory_address,0x5210,0x01280100,0.30,d645be0002010d5b0116,005516010363d3c4fdeb
romfs/fight/send_comment.rtz,memory_address,0x5214,0x01165500,0.30,02010d5b011600012801,0363d3c4fdeb01d3c4fd
romfs/fight/send_comment.rtz,memory_address,0x5240,0x00160016,0.30,5516000c000000003a5f,1602430c0000003f4201
romfs/fight/send_comment.rtz,memory_address,0x524C,0x03280142,0.30,16001602430c0000003f,00555d13001600160243
romfs/fight/send_comment.rtz,memory_address,0x526C,0x04165500,0.30,0300555b011603032804,16022e55160463e64230
romfs/fight/send_comment.rtz,memory_address,0x528C,0x02000D50,0.30,01375b010a0a03160103,2802005516000c000000
romfs/fight/send_comment.rtz,memory_address,0x52E4,0x00833860,0.30,2fe9f500001fee8200b6,20503ff4003f58a81e00
romfs/fight/send_comment.rtz,memory_address,0x5334,0x01002A50,0.30,d265ad00010114160053,4c4c5f0a00500200005d
romfs/fight/send_comment.rtz,memory_address,0x5348,0x0507002F,0.30,0200005df0ff62cb99c0,cf3a00b85ae2e30071c0
romfs/fight/send_comment.rtz,memory_address,0x53D4,0x03E5AD00,0.30,00989ac85d0040ff5b05,a700284272bc004e43f4
romfs/fight/send_comment.rtz,memory_address,0x5554,0x00525100,0.30,1602531603530a000316,0455160648555ddaff62
romfs/fight/send_comment.rtz,memory_address,0x5568,0x010A8FFF,0.30,5ddaff62e16b7a950043,43ff8f0a00000116570f
romfs/fight/send_comment.rtz,memory_address,0x5580,0x00185320,0.30,0059060000220000550a,005108000162c4ccfab3
romfs/fight/send_comment.rtz,memory_address,0x5590,0x00B3FACC,0.30,08000162c4ccfab301c4,02013a5b011800005107
romfs/fight/send_comment.rtz,memory_address,0x55AC,0x00160116,0.30,00555b010a0028010055,3a5f190018000016014d
romfs/fight/send_comment.rtz,memory_address,0x55B0,0x00195F3A,0.30,0a002801005516011600,18000016014d22010055
romfs/fight/send_comment.rtz,memory_address,0x55B8,0x01224D01,0.30,16003a5f190018000016,00551801004f00160146
romfs/fight/send_comment.rtz,memory_address,0x55BC,0x01185500,0.40,190018000016014d2201,004f00160146555de5ff
romfs/fight/send_comment.rtz,memory_address,0x55DC,0x04120E01,0.30,8e62dd01508e62dd0000,07375f09001204518000
romfs/fight/send_comment.rtz,memory_address,0x5610,0x04200300,0.40,0b003c5316001601594b,551604515b0000160253
romfs/fight/send_comment.rtz,memory_address,0x561C,0x04165302,0.30,2004551604515b000016,5151000116035f2e005b
romfs/fight/send_comment.rtz,memory_address,0x5620,0x01005151,0.30,04515b00001602531604,16035f2e005b010a0028
romfs/fight/send_comment.rtz,memory_address,0x5638,0x03000A00,0.30,050055160516023a5f1d,0a00031605530a000316
romfs/fight/send_comment.rtz,memory_address,0x567C,0x06550020,0.30,07375f46005b02180e00,220e0055160051070000
romfs/fight/send_comment.rtz,memory_address,0x5684,0x07510016,0.30,0e0020005506220e0055,0000280100555b010a00
romfs/fight/send_comment.rtz,memory_address,0x5688,0x01280000,0.40,5506220e005516005107,00555b010a0028020055
romfs/fight/send_comment.rtz,memory_address,0x568C,0x015B5500,0.40,00551600510700002801,0a002802005516021601
romfs/fight/send_comment.rtz,memory_address,0x5690,0x0228000A,0.30,51070000280100555b01,0055160216013a5f1d00
romfs/fight/send_comment.rtz,memory_address,0x5694,0x02165500,0.30,280100555b010a002802,16013a5f1d0016001602
romfs/fight/send_comment.rtz,memory_address,0x56A8,0x02160016,0.30,160016024d07375f0c00,4d51830000160246555d
romfs/fight/send_comment.rtz,memory_address,0x56D0,0x06550020,0.30,005b01180d00510c0000,220d0055160007375f0d
romfs/fight/send_comment.rtz,memory_address,0x56E4,0x008A5100,0.40,07375f0d00190a010216,02180000531207510a00
romfs/fight/send_comment.rtz,memory_address,0x5750,0x00160012,0.30,1209170000290f005557,590b0001220d0055570c
romfs/fight/send_comment.rtz,memory_address,0x5778,0x010A5500,0.30,02220500550a00022909,4a290300550a01022908
romfs/fight/send_comment.rtz,memory_address,0x57A4,0x00180612,0.30,512c0000012900005519,00235562081154ba0108
romfs/fight/send_comment.rtz,memory_address,0x57B8,0x002B1810,0.30,54ba01081154ba000001,07375f0900182b004f00
romfs/fight/send_comment.rtz,memory_address,0x57C0,0x002B1800,0.30,000110182b0007375f09,4f0063076302158d4601
romfs/fight/send_comment.rtz,memory_address,0x57EC,0x013D941F,0.30,160253182c004f036287,871f943d00000110182d
romfs/fight/send_comment.rtz,memory_address,0x57F8,0x07002D18,0.30,3d01871f943d00000110,375f0900182d004f0063
romfs/fight/send_comment.rtz,memory_address,0x5814,0x002E1812,0.30,e7d901582ae7d9000001,07375f0900182e004f00
romfs/fight/send_comment.rtz,memory_address,0x581C,0x002E1800,0.30,000112182e0007375f09,4f00630a014a63c16a93
romfs/fight/send_comment.rtz,memory_address,0x5850,0x02000A00,0.30,00170d0007375f110016,1600170d00518a00025b
romfs/fight/send_comment.rtz,memory_address,0x5858,0x008A5100,0.40,0016000a00021600170d,025b01180e0051070000
romfs/fight/send_comment.rtz,memory_address,0x5860,0x0751000E,0.30,170d00518a00025b0118,00002801005557120016
romfs/fight/send_comment.rtz,memory_address,0x5864,0x01280000,0.40,8a00025b01180e005107,00555712001600590b00
romfs/fight/send_comment.rtz,memory_address,0x587C,0x00125700,0.30,01180e00510a00015516,19590b0001210d005518
romfs/fight/send_comment.rtz,memory_address,0x58E4,0x00281800,0.30,0737355f0d0016035316,4f021600170d0007375f
romfs/fight/send_comment.rtz,memory_address,0x58FC,0x00835100,0.30,1000160006210d005516,0007180e00160323555d
romfs/fight/send_comment.rtz,memory_address,0x591C,0x002D5100,0.30,ff5c16014c5f0a00180e,0062a4c8568801a4c856
romfs/fight/send_comment.rtz,memory_address,0x5928,0x008856C8,0.30,2d000062a4c8568801a4,0501bb5b01180e005107
romfs/fight/send_comment.rtz,memory_address,0x5978,0x04165504,0.30,0e0016034d510c000020,170b0016041702001600
romfs/fight/send_comment.rtz,memory_address,0x59B0,0x0316000E,0.30,0316023b5f31005b0118,4d510c00002004551604
romfs/fight/send_comment.rtz,memory_address,0x5A40,0x04165504,0.30,0e0016034d510c000020,170b0016041702001600
