file,offset,japanese_text,english_text,confidence,source_section,priority,translation_status,translation_timestamp,quality_assessment,quality_reason,analysis_timestamp
romfs/fe/tuto_007.rtz,0x3ABA,ダメージとしてカード,Card as Damage,0.70,file_end,HIGH,COMPLETED,2025-07-30T17:04:08.764194,excellent,good length ratio; contains game terminology; proper capitalization; no obvious mistranslations; good extraction confidence,2025-07-30T17:10:08.042628
romfs/fe/tuto_007.rtz,0x3BDC,あなたは{$336600}ヴァンガード{,YOU {$336600} VANGUARD {,0.70,file_end,HIGH,COMPLETED,2025-07-30T17:04:09.389700,excellent,good length ratio; contains game terminology; proper capitalization; no obvious mistranslations; good extraction confidence,2025-07-30T17:10:08.042741
romfs/fe/tuto_007.rtz,0x3BF6,ヴァンガード{$}で,VANGUARD{$},0.70,file_end,HIGH,COMPLETED,2025-07-30T17:04:11.329088,excellent,good length ratio; contains game terminology; proper capitalization; no obvious mistranslations; good extraction confidence,2025-07-30T17:10:08.042907
romfs/fe/tuto_007.rtz,0x3EF6,し|>のヴァンガード,VanGuard,0.70,file_end,HIGH,COMPLETED,2025-07-30T17:04:14.272273,excellent,good length ratio; contains game terminology; proper capitalization; no obvious mistranslations; good extraction confidence,2025-07-30T17:10:08.043012
romfs/fe/tuto_007.rtz,0x3EFC,のヴァンガードを{$,The VanGuard {$,0.70,file_end,HIGH,COMPLETED,2025-07-30T17:04:14.799874,excellent,good length ratio; contains game terminology; proper capitalization; no obvious mistranslations; good extraction confidence,2025-07-30T17:10:08.043075
romfs/fe/tuto_007.rtz,0x3F80,リアガードにアタック,Attack on Rear Guard,0.70,file_end,HIGH,COMPLETED,2025-07-30T17:04:15.528197,excellent,good length ratio; contains game terminology; proper capitalization; no obvious mistranslations; good extraction confidence,2025-07-30T17:10:08.043146
romfs/fe/tuto_007.rtz,0x3F82,アガードにアタックす,Attack on AGuard,0.70,file_end,HIGH,COMPLETED,2025-07-30T17:04:15.697317,excellent,good length ratio; contains game terminology; proper capitalization; no obvious mistranslations; good extraction confidence,2025-07-30T17:10:08.043165
romfs/fe/tuto_007.rtz,0x3F84,ガードにアタックする,Attack the Guard,0.70,file_end,HIGH,COMPLETED,2025-07-30T17:04:15.864140,excellent,good length ratio; contains game terminology; proper capitalization; no obvious mistranslations; good extraction confidence,2025-07-30T17:10:08.043183
romfs/fe/tuto_007.rtz,0x4056,ヴァンガードでアタッ,VanGuard,0.70,file_end,HIGH,COMPLETED,2025-07-30T17:04:19.588211,excellent,good length ratio; contains game terminology; proper capitalization; no obvious mistranslations; good extraction confidence,2025-07-30T17:10:08.043416
romfs/fe/tuto_007.rtz,0x4058,ァンガードでアタック,Attack with VanGuard,0.70,file_end,HIGH,COMPLETED,2025-07-30T17:04:19.756408,excellent,good length ratio; contains game terminology; proper capitalization; no obvious mistranslations; good extraction confidence,2025-07-30T17:10:08.043436
romfs/fe/tuto_007.rtz,0x405A,ンガードでアタックし,Attack with Ngurd,0.70,file_end,HIGH,COMPLETED,2025-07-30T17:04:19.930813,excellent,good length ratio; contains game terminology; proper capitalization; no obvious mistranslations; good extraction confidence,2025-07-30T17:10:08.043455
