RTZ Text Search Summary
=====================

Files with matches:
fe/tuto_007.rtz: 296 exact, 800 partial
fe_backup/tuto_007.rtz: 296 exact, 800 partial
fe/tuto_008.rtz: 72 exact, 904 partial
fe_backup/tuto_008.rtz: 72 exact, 904 partial
fe/tuto_013.rtz: 168 exact, 784 partial
fe_backup/tuto_013.rtz: 168 exact, 784 partial
fe/tuto_016.rtz: 160 exact, 776 partial
fe_backup/tuto_016.rtz: 160 exact, 776 partial
fe/tuto_012.rtz: 328 exact, 576 partial
fe_backup/tuto_012.rtz: 328 exact, 576 partial
fe/tuto_011.rtz: 160 exact, 576 partial
fe_backup/tuto_011.rtz: 160 exact, 576 partial
fe/tuto_005.rtz: 0 exact, 712 partial
fe_backup/tuto_005.rtz: 0 exact, 712 partial
fe/tuto_006.rtz: 0 exact, 696 partial
fe_backup/tuto_006.rtz: 0 exact, 696 partial
fe/tuto_019.rtz: 72 exact, 616 partial
fe_backup/tuto_019.rtz: 72 exact, 616 partial
fe/tuto_010.rtz: 24 exact, 632 partial
fe_backup/tuto_010.rtz: 24 exact, 632 partial
fe/tuto_020.rtz: 72 exact, 576 partial
fe_backup/tuto_020.rtz: 72 exact, 576 partial
fe/tuto_002.rtz: 8 exact, 616 partial
fe_backup/tuto_002.rtz: 8 exact, 616 partial
fe/tuto_014.rtz: 80 exact, 528 partial
fe_backup/tuto_014.rtz: 80 exact, 528 partial
fe/tuto_001.rtz: 8 exact, 592 partial
fe_backup/tuto_001.rtz: 8 exact, 592 partial
fe/tuto_003.rtz: 0 exact, 552 partial
fe_backup/tuto_003.rtz: 0 exact, 552 partial
fe/tuto_009.rtz: 0 exact, 488 partial
fe_backup/tuto_009.rtz: 0 exact, 488 partial
fe/tuto_017.rtz: 0 exact, 440 partial
script/EV_G_25.rtz: 56 exact, 384 partial
fe_backup/tuto_017.rtz: 0 exact, 440 partial
script/FEV_G_N_06.rtz: 40 exact, 360 partial
script/FEV_G_S_03.rtz: 96 exact, 280 partial
fe/tuto_015.rtz: 0 exact, 368 partial
fe_backup/tuto_015.rtz: 0 exact, 368 partial
script/EV_G_27.rtz: 8 exact, 288 partial
script/FEV_G_H_02.rtz: 0 exact, 288 partial
script/EV_G_25_B.rtz: 0 exact, 280 partial
script/EV_V_GO_04.rtz: 32 exact, 240 partial
script/EV_G_36_B_TEND.rtz: 16 exact, 256 partial
fe/tuto_004.rtz: 0 exact, 240 partial
fe_backup/tuto_004.rtz: 0 exact, 240 partial
script/MI_G_01.rtz: 0 exact, 224 partial
